Year,EventName,Location,TrackType,AirTemp_Avg,TrackTemp_Avg,Rainfall_Any,Total_Drivers,Target_Had_SC
2024,Hungarian Grand Prix,Budapest,Permanent,28.82387096774194,44.91612903225806,0,20,0
2024,Belgian Grand Prix,Spa-Francorchamps,Permanent,21.32846715328467,42.26715328467153,0,20,0
2024,Dutch Grand Prix,Zandvoort,Permanent,19.00588235294118,30.80588235294118,0,20,0
2024,Italian Grand Prix,Monza,Permanent,33.1015037593985,49.31127819548872,0,20,0
2024,Azerbaijan Grand Prix,Baku,Permanent,26.70592105263158,44.34934210526316,0,20,1
2024,Singapore Grand Prix,Marina Bay,Street,30.786250000000003,36.445625,0,20,0
2024,United States Grand Prix,Austin,Permanent,28.12129032258064,46.60193548387097,0,20,1
2024,Mexico City Grand Prix,Mexico City,Permanent,19.88867924528302,35.60251572327045,0,20,1
2024,São Paulo Grand Prix,São Paulo,Permanent,21.662686567164172,25.769651741293536,1,20,1
2024,Las Vegas Grand Prix,Las Vegas,Street,17.825174825174823,17.723776223776223,0,20,0
2024,Qatar Grand Prix,Lusail,Permanent,18.926490066225167,22.773509933774836,0,20,1
2024,Abu Dhabi Grand Prix,Yas Island,Permanent,26.76824324324324,31.805405405405406,0,20,0
